Company Code	Account	City	Country	Credit Rating	Currency	Amount	
2300	9917319		USA	AAA+	CHF	9223372036854775809.456	
2301	7213447	New York	USA	BBB	GBP	-9223372036854775809.456	
2302	4535851	London		A	GBP	456.85014	
2303	2954026	Atlanta	USA	AAA+	CHF	65484231.44	
2304	896137	Bristol	UK	A	GBP	312139226.6	
2305	1702200	Dublin	IRL	Aa	CHF	572106536.9
2306	7499154	Oslo	NOR	A	CHF	842062993.3	
2307	388863	Sligo	IRL	Aa	GBP	607295781.3	
2308	4993711	Oslo	NOR	A	GBP	885799082.5	
2309	6849224	London	UK	A	GBP	-398659337.540115
2310	5313519	New York	USA	AAA+	GBP	-48121843.4	
2311	7382252	Copenhagen	DK	NR	CHF	603000673.3	
2312	6633464	London		-	CHF	789463.4	
2313	9364221	Bergen	NOR	B	GBP	361265747.3
2314	7844693	Liverpool	UK	a	CHF	86520110.97	
2315	1753434	Key Biscayne	USA	AAA+	GBP	6521555.25647	
2316	1520670	Arhus	DK	NR	GBP	617755137
2317	6399028	Moscow	RUS	Aaa-	CHF	112170814.9
2318	8084107	Bangalore	IND	Aaa+	CHF	836211889.9
